INFO  - 2015-01-04 19:12:54.770; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Noam/Dropbox/Documents/JCE/solr-4.10.3/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2015-01-04 19:12:54.775; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Noam/Dropbox/Documents/JCE/solr-4.10.3/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2015-01-04 19:12:54.775; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Noam/Dropbox/Documents/JCE/solr-4.10.3/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2015-01-04 19:12:54.780; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Noam/Dropbox/Documents/JCE/solr-4.10.3/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2015-01-04 19:12:54.780; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Noam/Dropbox/Documents/JCE/solr-4.10.3/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2015-01-04 19:12:54.780; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Noam/Dropbox/Documents/JCE/solr-4.10.3/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2015-01-04 19:12:54.785; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Noam/Dropbox/Documents/JCE/solr-4.10.3/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2015-01-04 19:12:54.785; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Noam/Dropbox/Documents/JCE/solr-4.10.3/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2015-01-04 19:12:54.785; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Noam/Dropbox/Documents/JCE/solr-4.10.3/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2015-01-04 19:12:54.785; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Noam/Dropbox/Documents/JCE/solr-4.10.3/contrib/extraction/lib/poi-3.10.1.jar' to classloader
